idxcell,idycell,idzcell,Temperature
1,1,1,368.0
1,2,1,368.19607843137254
1,3,1,368.3921568627451
1,4,1,368.5882352941176
1,5,1,368.7843137254902
1,6,1,368.98039215686276
1,7,1,369.1764705882353
1,8,1,369.37254901960785
1,9,1,369.5686274509804
1,10,1,369.7647058823529
1,11,1,369.96078431372547
1,12,1,370.15686274509807
1,13,1,370.3529411764706
1,14,1,370.54901960784315
1,15,1,370.7450980392157
1,16,1,370.94117647058823
1,17,1,371.1372549019608
1,18,1,371.3333333333333
1,19,1,371.52941176470586
1,20,1,371.72549019607845
1,21,1,371.921568627451
1,22,1,372.11764705882354
1,23,1,372.3137254901961
1,24,1,372.5098039215686
1,25,1,372.70588235294116
1,26,1,372.9019607843137
1,27,1,373.0980392156863
1,28,1,373.29411764705884
1,29,1,373.4901960784314
1,30,1,373.6862745098039
1,31,1,373.88235294117646
1,32,1,374.078431372549
1,33,1,374.27450980392155
1,34,1,374.47058823529414
1,35,1,374.6666666666667
1,36,1,374.8627450980392
1,37,1,375.05882352941177
1,38,1,375.2549019607843
1,39,1,375.45098039215685
1,40,1,375.6470588235294
1,41,1,375.84313725490193
1,42,1,376.03921568627453
1,43,1,376.2352941176471
1,44,1,376.4313725490196
1,45,1,376.62745098039215
1,46,1,376.8235294117647
1,47,1,377.01960784313724
1,48,1,377.2156862745098
1,49,1,377.4117647058824
1,50,1,377.6078431372549
1,51,1,377.80392156862746
1,52,1,378.0
