idxcell,idycell,idzcell,Temperature
1,1,1,295.0
1,2,1,295.17543859649123
1,3,1,295.35087719298247
1,4,1,295.5263157894737
1,5,1,295.70175438596493
1,6,1,295.87719298245617
1,7,1,296.05263157894734
1,8,1,296.2280701754386
1,9,1,296.4035087719298
1,10,1,296.57894736842104
1,11,1,296.7543859649123
1,12,1,296.9298245614035
1,13,1,297.10526315789474
1,14,1,297.280701754386
1,15,1,297.4561403508772
1,16,1,297.63157894736844
1,17,1,297.8070175438597
1,18,1,297.9824561403509
1,19,1,298.1578947368421
1,20,1,298.3333333333333
1,21,1,298.50877192982455
1,22,1,298.6842105263158
1,23,1,298.859649122807
1,24,1,299.03508771929825
1,25,1,299.2105263157895
1,26,1,299.3859649122807
1,27,1,299.56140350877195
1,28,1,299.7368421052632
1,29,1,299.9122807017544
1,30,1,300.0877192982456
1,31,1,300.2631578947368
1,32,1,300.43859649122805
1,33,1,300.6140350877193
1,34,1,300.7894736842105
1,35,1,300.96491228070175
1,36,1,301.140350877193
1,37,1,301.3157894736842
1,38,1,301.49122807017545
1,39,1,301.6666666666667
1,40,1,301.8421052631579
1,41,1,302.0175438596491
1,42,1,302.1929824561403
1,43,1,302.36842105263156
1,44,1,302.5438596491228
1,45,1,302.719298245614
1,46,1,302.89473684210526
1,47,1,303.0701754385965
1,48,1,303.2456140350877
1,49,1,303.42105263157896
1,50,1,303.5964912280702
1,51,1,303.7719298245614
1,52,1,303.94736842105266
1,53,1,304.12280701754383
1,54,1,304.29824561403507
1,55,1,304.4736842105263
1,56,1,304.64912280701753
1,57,1,304.82456140350877
1,58,1,305.0
